Group,Values,len
261,air conditioner accessories,27
175,kitchen storage organizers,26
260,handheld sewing machine,23
260,electric sewing machine,23
95,collectable merchandise,23
260,portable sewing machine,23
74,blood pressure monitor,22
116,phone wireless charger,22
113,bluetooth microphones,21
126,car bluetooth devices,21
167,baby head to toe wash,21
212,multi purpose pouches,21
188,clothes organization,20
78,internal hard drives,20
143,bath liquid cleanser,20
55,foundation concealer,20
205,water colour brushes,20
234,multipurpose cleaner,20
78,external hard drives,20
131,watch collection box,20
274,vacuum cleaner parts,20
175,kitchen food storage,20
128,transmission fluids,19
63,electric toothbrush,19
91,traditional laptops,19
92,stationary consoles,19
86,mechanical keyboard,19
192,lighting components,19
206,water colour pencil,19
95,pokemon merchandise,19
111,bluetooth headphone,19
111,bluetooth earphone,18
89,computer softwares,18
255,pedicure treatment,18
192,specialty lighting,18
77,traditional laptop,18
78,solid state drives,18
175,kitchen containers,18
79,dot metric printer,18
253,restaurant voucher,18
83,network converters,18
223,travel accessories,18
219,packing organizers,18
255,manicure treatment,18
111,wireless headphone,18
59,foundation sponges,18
69,moisturizing cream,18
183,artificial flowers,18
66,hair removal cream,18
149,educational puzzle,18
120,landline telephone,18
53,supplement tablets,18
112,bluetooth speakers,18
74,heart rate monitor,18
86,wireless keyboard,17
168,baby milk formula,17
222,packing organizer,17
111,wireless earphone,17
183,artificial plants,17
279,tv remote control,17
80,handheld scanners,17
81,printer cartridge,17
234,laundry detergent,17
192,bathroom lighting,17
160,receiving blanket,17
10,compression pants,17
241,carbonated drinks,17
60,hair straightener,17
92,handheld consoles,17
251,utilities payment,17
124,smartphone camera,17
165,baby moisturizers,17
207,chalkboard eraser,17
207,whiteboard eraser,17
207,blackboard duster,17
175,kitchen canisters,17
53,supplement drinks,17
130,helmet motorcycle,17
76,designing desktop,17
103,electric keyboard,17
132,chronograph watch,17
192,lighting fixtures,17
241,adult milk powder,17
72,blackhead remover,17
248,baking flavoring,16
163,baby thermometer,16
197,bathroom mirrors,16
80,flatbed scanners,16
197,bathroom cabinet,16
57,cream eye shadow,16
69,moisturizing gel,16
234,kitchen cleaners,16
192,outdoor lighting,16
71,face moisturizer,16
193,fluorescent tube,16
252,shopping voucher,16
63,mouth toothbrush,16
80,sheetfed scanner,16
63,dental equipment,16
77,designing laptop,16
83,network adapters,16
168,kids supplements,16
165,maternity creams,16
66,hair removal wax,16
204,digital calendar,16
197,bathroom storage,16
179,baking sheet pan,16
121,screen protector,16
212,fold over purses,16
276,traditional iron,16
99,dart accessories,16
214,outdoor backpack,16
223,makeup organizer,16
269,surround speaker,16
269,speaker soundbar,16
173,lounge furniture,16
189,storage cabinets,16
179,measuring spoons,16
210,patchwork fabric,16
261,portable aircond,16
208,measurement tape,16
256,fruit extractors,16
276,garment steamers,16
205,permanent marker,16
197,bathroom shelves,16
212,passport holder,15
67,sanitary napkin,15
164,maternity dress,15
165,rubbing alcohol,15
24,blouse muslimah,15
199,extension cable,15
164,maternity pants,15
268,home amplifiers,15
176,cadar patchwork,15
268,audio receivers,15
148,building blocks,15
148,building puzzle,15
116,phone usb cable,15
238,dried vegetable,15
71,facial cleanser,15
68,sunblock lotion,15
56,highlight stick,15
117,fitness tracker,15
69,whitening cream,15
271,water dispenser,15
119,android tablets,15
164,nursing pillows,15
66,electric shaver,15
68,sunscreen cream,15
167,baby shower gel,15
234,toilet cleaners,15
245,chocolate drink,15
89,laptop chargers,15
170,kitchen cabinet,15
86,gaming keyboard,15
85,gaming mousepad,15
195,shower curtains,15
256,sandwich makers,15
178,chopping boards,15
244,sunflower seeds,15
277,washing machine,15
257,ice cream maker,15
262,ventilation fan,15
257,pressure cooker,15
163,nasal aspirator,15
248,baking extracts,15
199,extension plugs,15
59,make-up sponges,15
261,air conditioner,15
82,laser projecter,15
222,wheeled luggage,15
57,eyeshadow stick,15
198,bathroom scales,15
249,postage service,15
62,hair treatment,14
121,privacy screen,14
124,instant camera,14
120,cordless phone,14
199,plugs adapters,14
121,tempered glass,14
68,sunblock cream,14
124,compact camera,14
87,gaming monitor,14
119,tablets 2-in-1,14
224,pet deodoriser,14
141,bottle feeding,14
91,gaming laptops,14
84,wireless mouse,14
234,floor cleaners,14
91,2-in-1 laptops,14
140,baby strollers,14
94,action figures,14
140,baby car seats,14
137,kids tank tops,14
137,baby tank tops,14
83,network cables,14
224,grooming wipes,14
71,facial essence,14
135,baby bodysuits,14
222,travel luggage,14
135,baby playsuits,14
79,inkjet printer,14
135,baby jumpsuits,14
132,analogue watch,14
76,gaming desktop,14
132,bracelet watch,14
146,early learning,14
87,monitor screen,14
74,pulse oximeter,14
75,weighing scale,14
178,stirring spoon,14
176,bed protectors,14
58,fake eyelashes,14
274,vacuum cleaner,14
57,eyebrow pencil,14
271,water purifier,14
246,instant coffee,14
55,compact powder,14
54,protein powder,14
53,supplement pil,14
166,baby detergent,14
175,thermal flasks,14
24,jubah muslimah,14
252,shopee voucher,14
169,bedroom mirror,14
253,dining voucher,14
254,travel voucher,14
174,clothes hanger,14
174,cleaning tools,14
256,stick blenders,14
245,dairy creamers,14
174,laundry basket,14
173,patio umbrella,14
259,coffee grinder,14
259,coffee machine,14
257,food processor,14
58,eyelashes glue,14
192,ceiling lights,14
59,beauty blender,14
58,eyelash curler,14
59,beauty sponges,14
59,facial sponges,14
179,measuring cups,14
246,canned coffee,13
250,top-up coupon,13
205,colour pencil,13
254,hotel voucher,13
233,pet scratcher,13
254,event voucher,13
214,shoulder bags,13
132,digital watch,13
250,reload coupon,13
82,led projecter,13
209,cutting blade,13
82,lcd projecter,13
81,printer toner,13
250,mobile reload,13
248,baking powder,13
64,feminine wash,13
174,laundry tools,13
79,laser printer,13
175,water bottles,13
206,acrylic paint,13
89,graphic cards,13
232,tick medicine,13
202,outdoor tools,13
259,coffee filter,13
225,waste removal,13
136,kids trousers,13
124,selfie camera,13
136,baby trousers,13
138,baby cardigan,13
100,snooker table,13
138,kids cardigan,13
135,kids jumpsuit,13
178,potato masher,13
277,clothes dryer,13
232,flea medicine,13
210,cotton fabric,13
261,air purifiers,13
103,digital piano,13
220,crossbody bag,13
140,baby bouncers,13
104,electric drum,13
256,hand blenders,13
220,messenger bag,13
123,action camera,13
77,gaming laptop,13
124,bridge camera,13
74,glucose meter,13
128,lubricant oil,13
147,playing dolls,13
155,kids headband,13
276,portable iron,13
73,wound plaster,13
56,blusher stick,13
73,wound bandage,13
59,make-up brush,13
115,walkie talkie,13
116,phone battery,13
246,coffee powder,13
56,cream blusher,13
56,contour cream,13
116,phone charger,13
155,baby headband,13
200,utility knife,13
270,refrigerators,13
240,cheese powder,13
269,radio speaker,13
56,contour stick,13
210,jersey fabric,13
241,energy drinks,13
57,eyeshadow pen,13
210,canvas fabric,13
274,robot vacuums,13
241,packet drinks,13
165,baby ointment,13
266,motion censor,13
164,nursing cover,13
67,menstrual cup,13
69,aloe vera gel,13
65,minyak lintah,13
210,ribbon fabric,13
123,sport camera,12
222,hand luggage,12
258,cooking pots,12
118,mobile phone,12
135,kids overall,12
258,cooking woks,12
179,mixing bowls,12
103,synthesizers,12
272,grill cooker,12
210,linen fabric,12
126,car chargers,12
100,snooker ball,12
271,water filter,12
190,storage bins,12
135,baby rompers,12
210,crepe fabric,12
135,baby overall,12
127,car stickers,12
112,usb speakers,12
132,sports watch,12
262,portable fan,12
176,bedding sets,12
182,wall sticker,12
266,alarm sensor,12
174,clothes iron,12
