userid,credit_card,dupe
24704966,301348xxxxxx1098|01-2020,True
14202676,301348xxxxxx1098|01-2020,True
46012496,301348xxxxxx1098|01-2020,True
67388198,301348xxxxxx2139|11-2022,True
9890206,301348xxxxxx2139|11-2022,True
37570830,301348xxxxxx2298|12-2017,True
17123052,301348xxxxxx2298|12-2017,True
8803334,301348xxxxxx2298|12-2017,True
45344700,301348xxxxxx3043|06-2020,True
62455086,301348xxxxxx3043|06-2020,True
13053314,301348xxxxxx3292|10-2022,True
53292094,301348xxxxxx3292|10-2022,True
10589894,301348xxxxxx3991|06-2018,True
1420792,301348xxxxxx3991|06-2018,True
71868526,301348xxxxxx4103|11-2019,True
12138470,301348xxxxxx4103|11-2019,True
37444784,301348xxxxxx4224|07-2021,True
37449164,301348xxxxxx4224|07-2021,True
1995742,301348xxxxxx4224|07-2021,True
82180792,301348xxxxxx4394|03-2018,True
15752024,301348xxxxxx4394|03-2018,True
43894934,301348xxxxxx8003|11-2020,True
59173476,301348xxxxxx8003|11-2020,True
101556918,301433xxxxxx1190|03-2024,True
100999584,301433xxxxxx1190|03-2024,True
31116626,301433xxxxxx1190|03-2024,True
9180458,301433xxxxxx1944|12-2024,True
51443658,301433xxxxxx1944|12-2024,True
72851190,301433xxxxxx2213|01-2026,True
75271028,301433xxxxxx2213|01-2026,True
10306920,301433xxxxxx2294|10-2026,True
33513332,301433xxxxxx2294|10-2026,True
99280584,301433xxxxxx2309|09-2022,True
82265580,301433xxxxxx2309|09-2022,True
94145598,301433xxxxxx2423|08-2022,True
17004420,301433xxxxxx2423|08-2022,True
11981966,301433xxxxxx2932|07-2027,True
1130692,301433xxxxxx2932|07-2027,True
77118876,301433xxxxxx2933|01-2027,True
41920938,301433xxxxxx2933|01-2027,True
20993034,301433xxxxxx3310|02-2023,True
6432802,301433xxxxxx3310|02-2023,True
18407734,301433xxxxxx3320|04-2027,True
41984950,301433xxxxxx3320|04-2027,True
31660888,301433xxxxxx3432|03-2021,True
55532770,301433xxxxxx3432|03-2021,True
54837740,301433xxxxxx3821|04-2020,True
1274512,301433xxxxxx3821|04-2020,True
1508156,301433xxxxxx3822|09-2025,True
49716336,301433xxxxxx3822|09-2025,True
29808522,301433xxxxxx8192|05-2022,True
4553872,301433xxxxxx8192|05-2022,True
26230226,301433xxxxxx8249|01-2026,True
21806458,301433xxxxxx8249|01-2026,True
78527156,301433xxxxxx8908|02-2027,True
38980794,301433xxxxxx8908|02-2027,True
9189232,301433xxxxxx9212|02-2020,True
47336272,301433xxxxxx9212|02-2020,True
1304218,301433xxxxxx9221|08-2020,True
13034370,301433xxxxxx9221|08-2020,True
30593426,301433xxxxxx9292|04-2025,True
18628288,301433xxxxxx9292|04-2025,True
38150230,301433xxxxxx9309|03-2020,True
13097520,301433xxxxxx9309|03-2020,True
19079804,301433xxxxxx9390|05-2019,True
13738788,301433xxxxxx9390|05-2019,True
9850836,301433xxxxxx9421|05-2026,True
10640102,301433xxxxxx9421|05-2026,True
73453216,301433xxxxxx9423|06-2024,True
23861842,301433xxxxxx9423|06-2024,True
32143702,301433xxxxxx9423|06-2024,True
31437170,301433xxxxxx9423|06-2024,True
38006200,301433xxxxxx9994|11-2024,True
34909840,301433xxxxxx9994|11-2024,True
2264618,302301xxxxxx2112|09-2020,True
6835682,302301xxxxxx2112|09-2020,True
44027122,302301xxxxxx2332|10-2021,True
